job_title,company_name,location,job_description
Carpenter,Mathiou Services,Townsville QLD,Lifestyle position in Towsville for a carpenter for our busy building & maintenance company. All skill levels are welcome to apply - senior; certified or apprentice carpenters! Job variety - learn something new every day Work vehicle with fuel card provided Social events throughout the year Monthly competitions and prizes Work Life Balance role - family friendly hours of work The carpentry role will include activities and responsibilities across a number of commercial environments; including but not limited to: General carpentry/ cabinetry Decking Renovations Basic patching/ painting Small tiling repairs General property maintenance Seek out additional work under the further works advise part of our customer service program Review compliance within client facilities to ensure work is up to trade/industry/Mathiou Service specifications Actively support and participate the implementation of the Integrated Management System Complete other on-site activities as directed by the State Operations Manager Qualifications / Licences / Tickets / Checks: Completed apprenticeship / Cert III in Carpentry and Joinery Working with children check Construction safety white card Manual driver's licence Skills and experience: Minimum of 1 years maintenance/carpentry experience Ability to problem solve and think of solutions for most maintenance scenarios Ability to tow trailers Ability/history of working unsupervised Be able to use a smart phone and on-line job management systems Our ideal Team Member is: Reliable; hard working and honest A team player that can also work autonomously Trustworthy Friendly and outgoing Sound communication skills Who are we: Mathiou services is an established; national; family owned and operated business. Delivering a service that will be difficult to find elsewhere; we provide all of your building and maintenance requirements including carpentry and building; maintenance and repairs; plumbing; floor restoration; gardening and landscaping; painting and decorating; electrical services and pest control. Job Type: Full-time Schedule: 8 hour shift Ability to commute/relocate: Brisbane QLD: Reliably commute or planning to relocate before starting work (Required) Experience: Carpentry: 1 year (Preferred) Licence/Certification: White Card (Preferred) Manual Driver Licence (Preferred) Work Authorisation: Australia (Preferred)
"Electricians & Electrical Apprentices, Commercial Projects - MELBOURNE",Amrick Electrical Pty Ltd,Melbourne VIC,Amrick Electrical are looking for driven and experienced electricians and apprentices for live commercial projects across Melbourne. Job Types: Full-time; Part-time Part-time hours: 40 per week Salary: $23.32 – $48.00 per hour Schedule: 8 hour shift Supplemental pay types: Overtime pay Ability to commute/relocate: Melbourne VIC: Reliably commute or planning to relocate before starting work (Required) Licence/Certification: White Card (Preferred) Driver Licence (Preferred) Work Authorisation: Australia (Preferred)
Mechanical Plumber,Couper Air Pty Ltd,Rowville VIC,About Couper Air Since 1973 Couper Air has designed and installed heating; ventilation and air conditioning systems that are tailored to our client's individual needs for residential and commercial properties. We consult with architects; builders; developers; property managers (commercial and residential); as well as the home and property owner to design and construct a total system that meets our clients requirements on time and on budget. Our specialised and experienced staff includes plumbers; electricians; refrigeration technicians and design engineers. We allow you peace of mind knowing that the work we do will be completed to our own high standards of service and quality. Demonstrating their commitment to our company 53% of our staff have worked with us for more than 10 years and 26% more than 20 years. About the role The successful applicant will be responsible for installation of heating; ventilation and air conditioning systems; throughout Melbourne and surrounding suburbs. The successful applicant will have; Registered Mechanical Plumber; preference given for licensed plumber or applicant willing to obtain licence. experience of and committed to training apprentices and fostering their skill development. a great attitude with a flexible approach to work. focus on and willing to continue developing their skills; ability to manage own projects and can order materials required to complete works in a timely and efficient manner complete projects to a high professional standard This opportunity could provide long term career progression within an ever growing business. Benefits and perks This position is full time with wages that are competitive with industry standards. Wage has the potential to be negotiated with the successful applicant dependent on their knowledge and experience. The successful applicant will be entitled to a company vehicle (or appropriate allowances) and mobile phone. Further training is encouraged and assistance will be provided to become a licensed plumber or provided with the opportunity to complete additional trade qualifications such as air conditioning / refrigeration or electrical apprenticeships. Opportunity to work independently; manage own work; order parts and materials; supervise apprentices; and liaise with builders and other trades. Social club gatherings for employees; partners and families to get together and relax. Skills and experience Registered Mechanical Plumber; preference will be given to licensed plumbers. Previous experience in the heating; ventilation and air conditioning industry Neat and presentable Demonstrated ability to work in a team Willingness to teach and mentor apprentices Strong written and verbal communication Attention to detail and has high standard of work Demonstrated commitment to customer service Punctual and reliable Ability to work autonomously and be self-directed to complete tasks within required time frames Current drivers licence Job Types: Full-time; Permanent Salary: $70;000.00 – $100;000.00 per year Benefits: Company car Schedule: 8 hour shift Monday to Friday Supplemental pay types: Overtime pay Ability to commute/relocate: Rowville VIC: Reliably commute or planning to relocate before starting work (Preferred) Licence/Certification: Plumbing Registration or Licence? (Required) Driver Licence (Preferred) White Card (Preferred) Work Authorisation: Australia (Required)
Gold Coast Domestic Electrician - COME TO A JOB YOU WILL ENJOY!,Electrical Magic,Gold Coast QLD,JOIN OUR MAGIC TEAM; COME TO A JOB YOU GENUINELY ENOY! We are looking for an awesome Electrician to join our team. Immediate start; full time position available. Electrical Magic is an established electrical & air conditioning contractor; since 2009 on the Gold Coast; and our work includes: Domestic/Light Commercial electrical service & repairs; lighting; renovations; new builds; and a large range of appliances sales & installations; and air conditioning sales & installations. If you are hoping for a secure long term role; and you are a person who genuinely enjoys a domestic service role working within a close knit team; this could be the position for you. WE ENCOURAGE YOU TO APPLY FOR THIS ROLE NOW! Are you sick of doing the same contract or site work day in and day out? Do you want to do more interesting and varied domestic work? You might complete electrical renovations in a multi-million dollar property. Or you might change a light bulb for one of our long term elderly customers. This role gives you the opportunity to problem solve; design and implement your ideas for your customers. You will work on very varied tasks and jobs. We are all about offering the best customer service and attention to detail. Our awesome team pride themselves on providing customers with 10/10 quality results & expert advice; with very professional customer service. We are an expanding; family owned business. We are offering a positive working environment; guidance and coaching; stability; and future training. And we don't work weekends! We also aim to be as flexible as possible and understanding of family and life commitments; as well as offer a paid day off each month. Everyone needs work - life balance. All work is on the Gold Coast; the Northern GC suburbs & branching up into South Brisbane suburbs. Our office and workshop is located in Arundel. Competitive Wage Rates & we give Regular Bonuses! Be rewarded for being a part of our team. The remuneration package on offer will comprise of a competitive hourly rate and company service vehicle; company phone & uniform. Plus regular guaranteed bonuses. This position includes: Various electrical service; repairs and maintenance across residential and light commercial projects. Electrical renovation work & dometic new builds. Assist in Air Conditioning installations (Splits & Ducted). Appliance installations. Site checks & planning your jobs. Reading and interpreting technical drawings. Prioritising tasks; and problem solving. Use of Job management system SIMPRO (we will train you!). Daily communication with other techs and the admin team. Weekly team meetings. Dealing directly & communicating effectively with customers. Working in a team as well as on your own (and supervising apprentices). Working smart at the task to get the best possible result for the customer. Note: This role requires you at times to work on government sites; aged care; NDIS clients; schools; and other facilities. Blue Card/Police Check may be required for some contracts. The Star Candidate: To be considered for this opportunity the following qualifications and requirements are mandatory. Current QLD Electrical Licence (or interstate equivalent). Construction Blue/White Card. Current CPR/LVR. Current Queensland Manual Drivers License. Own tools. Minimum 2 years recent experience (with Australian references) in domestic electrical work. Let us know if you have Air Con experience – it is a bonus but not mandatory (we can train you!) Always be well presented in company uniform; prompt & reliable. You will be most suited to this position if you genuinely enjoy offering great customer service; and you understand that sometimes requires you to go the extra mile for the team and the customer. Expect that every day will be different here at Electrical Magic. Job Types: Full-time; Permanent Salary: $40.00 – $43.00 per hour Benefits: Company car Schedule: 8 hour shift Monday to Friday Overtime Supplemental pay types: Bonus Overtime pay COVID-19 considerations: We have Covid safe practises and PPE in place for all team members when required; when attending jobs. Ability to commute/relocate: Gold Coast QLD: Reliably commute or planning to relocate before starting work (Required) Education: High School (Year 12) (Preferred) Experience: Domestic Service (post trade qualified): 2 years (Required) Licence/Certification: White Card (Required) Driver Licence (Required) Qld Electrical License (Or equivalent interstate lic.) (Required) CPR/LVR Certification (within 12 mth expiry) (Required)
Junior roofer / electrical apprentice,The hills solar centre,Castle Hill NSW 2154,We are looking for hard dedicated juniors to join our fast growing solar and batter installation team working. Working at heights and white card needed. Job Types: Full-time; Part-time; Apprenticeship Schedule: 8 hour shift Supplemental pay types: Overtime pay Performance bonus Ability to commute/relocate: Castle Hill; NSW 2154: Reliably commute or planning to relocate before starting work (Required) Licence/Certification: White Card (Preferred) Driver Licence (Preferred) Work Authorisation: Australia (Preferred)
Apprentice Plumbers 2nd - 4th Year,Detector Inspector,Cranbourne VIC,Expand your current plumbing skills with Detector Inspector. Gain great experience and knowledge in Gas Plumbing! Work Available in South Eastern Suburbs About Us Detector Inspector is Australia's number 1 provider of residential home safety and compliance. We're passionate about making homes safer and we've been doing this for over 15 years! We visit over 300;000 properties across Australia providing testing and maintenance services including Gas; Electrical; Smoke Alarms and other essential services. Detector Inspector has continued to operate normally throughout the COVID-19 pandemic; as the demand for our services is a legislated requirement in Victoria; albeit with some additional safety precautions. About the role With our large supporting team of experienced Gas Fitters; you will get the opportunity to gain great gas experience in a trade that is always of high demand! Day to Day: Our own bookings team will schedule your day/week Travel to job sites with an experienced Gas Fitter Assist with installation; changeovers; maintenance; servicing; and repairs on domestic gas appliances Build knowledge on a range of appliances such as cook tops; ovens; gas heaters; hot water systems and many more Requirements 2nd - 4th year apprentice Pre-Apprenticeship (Certificate II in Plumbing) preferred but not essential Clean police check Current Victorian driver’s licence and car Positive learning attitude and great communications skills Safety comes first at Detector Inspector; as a pre-requisite candidates will be required to complete a National Police Clearance and a Pre-Employment Physical Assessment. The successful applicant will also need to stay up to date with all current vaccinations in line with the DHHS Guidelines. Why you’ll want to join us Our culture is everything to us. From our field staff to our clients and customers. We have a dedicated Apprentice Coordinator to support and assist you through different aspects of your apprenticeship. Benefits At Detector Inspector; we love a challenge; strive to learn; and seek out opportunities. We are proud of our people and offer: Plumbing Award Rates; Tools; mobile and uniform Flexible hours – early finish on Fridays Great team culture– Fun work environment with team group chats and plenty of support Paid in-house and on-the-road training Job Security – Opportunities to grow and stay with the business To find out more about us; visit www.detectorinspector.com.au How to apply At Detector Inspector we believe in opportunities for all and we’re passionate about creating an inclusive workplace that represents our community. We encourage applications from candidates of all backgrounds who share our workplace values. If you're interested in the role click apply now” Job Types: Full-time; Apprenticeship Salary: $13.00 – $24.00 per hour Benefits: Referral program Travel reimbursement Schedule: 10 hour shift 8 hour shift Day shift Flexible hours Monday to Friday Overtime Weekend availability Supplemental pay types: Overtime pay Experience: Plumbing: 2 years (Required) Licence/Certification: Victorian Drivers Licence (Required) Clean Police Check (Required) Work Authorisation: Australia (Required)
Automotive Electrician,Amtek Pty Limited,Caroline Springs VIC 3023,Amtek is an Australian owned and operated company with over 190 employees in NSW; Victoria and WA. We specialise in building customised engineered vehicles for a range of government clients including VIC police; VIC ambulance SES; Disability access; Fire and Rescue and many more. We are currently recruiting for Automotive Electricians to create these vehicles that will assist our community and Emergency Responders. Your main responsibilities will include: Working hands on with the Supervisor and team of Auto Electricians to carry out the installation; diagnosis of faults and repairs of electrical components in motor vehicles. To partner with other production staff; and tradesmen of different disciplines to plan installations. Installing electrical equipment and electronic components in motor vehicles; including. harnesses; light bars; message boards; siren and speaker units. Programming OEM Computer Systems. Dismantling and removing electrical and electronic assemblies and components. Install and identify faults with ancillary electrical systems. Using test equipment to locate electrical and electronic malfunctions. Testing and replacing defective alternators; generators; voltage regulators and starter motors. Replacing defective parts; including fuses; lamps and switches. Training and mentoring our team; this may include Apprentices. Ensuring compliance and quality work within timeframes. Role Requirements & Qualifications: The successful candidate will need to be motivated; reliable and committed. You will work well within a team and have a high attention to detail working towards strict deadlines. Certificate III in Automotive Electrical Technology (or currently training) Minimum twelve (12) months related experience or training preferred but not essential. Excellent verbal and written communication. Ability to solve practical problems and think on your feet. Why you should join the Amtek team! Amtek is a growing business and have had industry experience for over 20 years. We will give you the tools to improve your skills as well as an enjoyable and safe place to work. In addition you will receive: Job Security Excellent growth and learning opportunities Great working hours plus Overtime available A great working culture in a safe environment If you want to work for a growing and secure business; then please apply and join the Amtek team. Check out our website! https://www.amtek.net.au/ to learn about us. Amtek is an Equal Opportunity Employer Job Types: Full-time; Permanent Salary: $27.00 – $35.00 per hour Benefits: Referral program Schedule: 8 hour shift Monday to Friday Overtime Weekend availability Supplemental pay types: Overtime pay
Apprentice Electrician Elevators,Uplift Elevators Pty Ltd,Sydney NSW,Uplift elevators is a major contractor to the largest lift company in the country. Heavily desired someone with a mechanical background and are you looking for and electrical apprenticeship that different and exciting; training will be conducted on site with qualified personnel. You will need an enthusiastic and adaptive attitude as the job entails many different skills on many different construction sites around Sydney. It is exciting and rewarding with many options available for personal growth. You must have a white card and working @ heights card (1day course). This is an immediate start available for the right candidate. full-time hours and overtime. Apply now!!! Job Type: Full-time Salary: From $40;000.00 per year Schedule: 10 hour shift Overtime Supplemental pay types: Overtime pay Performance bonus Licence/Certification: Working at Heights ticket (Preferred) Australian driver's licence (Preferred) White Card (Preferred)
Electrical Supervisor/Foreman,Adecco,Brisbane QLD,Reputable National Company Fantastic Salary Package Leadership Role Adecco are currently recruiting for an Electrical Supervisor/Foreman with hazardous area electrical certification. It is a permanent role in Eagle Farm. 40 hour per week with some overtime. $120k - $125K plus super and vehicle (negotiable). You will be joining an iconic company who values and supports their employees. Fantastic working environment. Client Details My client began their business in 1984 by setting up and running the largest onshore oil refinery at the time and through innovation and diversification has provided a range of petroleum solutions to the aviation; agriculture and long haul trucking and transport businesses. Description The successful candidate will be responsible for the following: Leading a team of in house and contractor electricians Plan and monitor tasks/projects and materials for electricians and apprentices Manage and ordering electrical parts and materials Monitor productivity of workers Hands on electrical work where required Stock management Fuel management Electrical drawings; Build switchboards; breakers etc Perform electrical calculations Profile The successful candidate will be responsible for the following: Leading a team of in house and contractor electricians Plan and monitor tasks/projects and materials for electricians and apprentices Manage and ordering electrical parts and materials Monitor productivity of workers Hands on electrical work where required Stock management Fuel management Electrical drawings; Build switchboards; breakers etc Perform electrical calculations Job Offer Fantastic package - $120;000 - $125;000 plus super and vehicle (negotiable) Full use of work vehicle Day shift Immediate start  0000088130-1_166799650636589
Electrician / Apprentice Electrician / Trades Assistant,BayCoast Electrical & Control Solutions PTY LTD,Batemans Bay NSW 2536,POSITION VACANT - NSW Qualified ELECTRICIAN - - BATEMANS BAY NSW - About Us We are a professional Electrical Company pride ourselves on our longstanding relationships and quality workmanship to deliver the best outcomes for our clients. with Commercial Contracts we have a busy year ahead and looking for a Team player to join our close-knit team. BENEFITS Fantastic Salary Package - INCLUDING Company Vehicle (one) + Lifestyle on Beautiful Coast Why Join Us? Well above award remuneration overtime uniforms all relevant award allowances Great Working Conditions - Supportive and motivated stable team of electrical trade professionals. Ongoing work in commercial; residential and maintenance. Advance Your Career - Long term opportunity to develop as an integral leader of our business Excellent Culture - Down to earth management; Beautiful coastal lifestyle Rebuilding our fire effected community The Role Exciting opportunity has become available for motivated Electrician to join our dynamic team and support our growing client base. Reporting to the operations manager; you will be responsible for the daily job management and diverse range of projects. The role generally consists of commercial; residential and industrial repairs installations; refurbishments etc. Currently we have a heavy work load and ongoing stable contracts; regular works for customers we have. Duties include: Completing a variety of commercial electrical work Working autonomously or within the team across the Eurobodalla Remaining self-motivated with a positive attitude towards all duties Skills & Experience Full Australian working rights NSW electrical license Current driver's license Construction industry white card Excellent customer service Apply now! If you meet the above requirements; please apply; Please answer the following questions in your cover letter: Do you have the right to work in Australia? Do you hold a current electrical licence? Do you have a current drivers licence? Do you have any other tickets / courses? optional Are you aware this role is based in Batemans Bay NSW Fulltime? Contact Shannon to discuss hours; salary and conditions. Immediate start. 0415754270 Job Types: Full-time; Part-time; Permanent Job Duties: Install; repair; and maintain electrical systems in accordance with local laws and codes Run tests on electrical components to ensure a safe and effective installation Inspect electrical systems and equipment for any damage; malfunctions; and safety hazards; including Conveyors and Commercial equipment Communicate with clients to discuss scheduling and provide ongoing updates through to completion Residential works for upgrades; replacements; and New Builds Other duties as requested Work Remotely No Job Type: Full-time Salary: $40.00 – $44.00 per hour Benefits: Company car Employee mentoring program Travel reimbursement Schedule: 8 hour shift Monday to Friday Overtime Weekend availability Supplemental pay types: Christmas bonus Overtime pay COVID-19 considerations: We are COVID Safe and provide appropriate PPE Experience: electrician: 1 year (Preferred) Licence/Certification: Provisional P1 driver licence (Required) White Card OHS (Required)
"Automotive Technician - Mechanic ""Old School"". Qualified or Apprentice",MINI & MOKE WORLD,Brookvale NSW 2100,We are looking for a qualified Motor Mechanic OR apprentice with experience working on older vehicles. As a classic Mini & Moke Specialist on Sydney's Northern Beaches the applicant needs strong all-round skills as well as knowledge with points and carby's (old school mechanics). Self motivation and understanding of our type of cars is essential. Own tools is preferable (we carry specialized tools in-house). An interest in welding and electrical would be a bonus. Competitive rates of pay. Full time position. Job Type: Full-time Salary: $35;184.00 – $91;029.00 per year Schedule: 8 hour shift Supplemental pay types: Overtime pay Licence/Certification: Australian manual transmission driver's licence (Preferred) Australian mechanical licence (Preferred)
Electrician / CEC Accredited Solar Installer,AAA SOLAR PTY LTD,New South Wales,Electrician / CEC Accredited Solar Installer We're looking for another CEC accredited electrician to join our solar team Earn $100;000.00 – $130;000.00 per year Position Summary The role is based in Sydney / Dubbo / Orange / Bathurst / New Castle. Your role will be to Supervise a team of up to 4 people. We specialise in premium quality solar installations with residential and commercial customers. Install range from 5KW to over 100kW The successful applicant can expect a role with a good work life balance and gain exposure to the latest technologies in one of the fastest growing sectors in the Australian economy. The ideal candidate will have pride in their work and possess strong customer service skills. Ideally you will have two or more years solar installation and supervising experience. Essential qualifications; CEC solar accreditation Current NSW electrical licence Current driver license White card Working at heights First Aid Essential skills; Minimum 6 months residential or commercial solar experience or as an electrician. Be able to demonstrate considerable solar installation experience across a variety of industry products Solid leader with the ability to train and supervise labourers; apprentices and other electricians. Confident at problem solving and managing worksites. Show a sense of pride in your skills and value quality workmanship. Uploading site images including Panel/Inverter serials to relevant software. Audits on Solar PV systems and compliance analysis. Provide high quality customer service on and off site. Observe and implement all relevant OH&S requirements at all time. The application form will include these questions: Which of the following statements best describes your right to work in Australia? Do you hold a current electrical licence? How many years of people management experience do you have? Keen to work from Tuesday to Friday or Saturday? Willing to travel and spend the working week away from home. Job Types: Full-time; Permanent Salary: $100;000.00 – $130;000.00 per year Benefits: Employee discount Referral program
"Air Conditioning, Refrigeration, and Appliance Technician",Hunter Valley Appliance Repairs Ply Ltd,Muswellbrook NSW,The Role We are searching for a reliable; self-driven Service Technician with a positive attitude and good work ethic to join our Team. Your role will include service; maintenance and repairs to domestic and commercial air conditioning; refrigeration; and other appliances. APPRENTICES WELCOME TO APPLY Skills Demonstrated experience in service; maintenance; and diagnostics of all HVAC; refrigeration and other large appliance systems across domestic and commercial buildings Service; maintenance; breakdowns and repairs Fault finding and repairs to all types of air conditioning; refrigeration and other appliance systems Excellent communication (verbal and written) and interpersonal skills. Able to work independently and in a team Knowledge or previous experience in the software program ServiceM8 preferred but not essential. Highly self-motivated and eager to grow the business. An empathetic; committed; and trustworthy character. Proven ability to handle and maintain workplace confidentiality and privacy issues; exercise initiative and judgement. Highly developed organisational and time management skills with the ability to prioritise competing work demands and to work under pressure. Essential Air Conditioning & Refrigeration qualification - CERT III Refrigerant Handling License Construction White card NSW drivers license Even Better Dual trade in electrical Benefits A great inclusive (family type) team environment with great working conditions Company maintained vehicle iPhone (digital platforms used for jobs and timesheets) All uniforms and PPE provided You must currently reside (and be eligible to work) in Australia; and be able to provide a current National Police Clearance. Job Types: Full-time; Part-time; Casual Part-time hours: 38 per week Salary: $25.37 – $40.68 per hour Schedule: 8 hour shift
Apprentice Electricians,MPES Group,Guildford NSW,MPES Group Aust are now hiring Electrical Apprentices.With commercial and residential building sites all over Sydney; you will need an OH&S card plus drivers license.We will train you in all aspects of the electrical trade for this full time role. YOU must be; Interested in electrical work; mathematical and technical aspects Willing to learn – we will pay for each successful TAFE course completion A good communicator Able to follow all OH&S practices Motivated and reliable Able to start immediately Experienced with at least 3 months in construction or electrical work Apply with your resume to admin@mpesgroup.com.au
Electrical Apprentice,The Murrina Group,New South Wales,Electrical Apprentice located at the NSW Yard: Electrical Apprentice Murrina group is a proud indigenous company and is seeking the services of an Apprentice for our Plant facility based in Sydney. Murrina Supplies modern Tower cranes & Hoists and auxiliary equipment to major contractors in the Construction; Engineering & infrastructure sectors across Australia. Job Description: Reporting to the Electrical Engineer; the Apprentice will work on the maintenance of tower cranes; hoists & minor equipment in the workshop. Skills Ideal candidates will have: The ability to work with teams and also independently with a can-do approach. The ability to work at heights. A strong desire to learn new skills and achieve a valuable qualification. Ability to work in a fast-paced and changing workplace. High level organisation and time management skills. The ability to multi-task and be a team player. The ability to work safely. High level interpersonal skills. The ability to execute on deadlines; prioritise workloads and plan effectively. Commenced an appropriate electrical trade course. A NSW drivers licence. Apply via email to hello@themurrinagroup.com.au 8 December 2021
Apprentice Electrician,LGL Electrical Solutions,"Picton NSW+5 locations",We are after young; reliable talent in the electrical or security game to step up in our tight-knit community. Requirements: Good attitude and eagerness to work. Punctual and well presented. Drivers license and vehicle. White card. Ability to work well with others. Ability to approach challenges with a positive attitude. Good time management. Desire to develop new skills and be a contributing part of a motivated team. Provide own hand tools; battery drills; work boots; long pants/shorts. Job Type: Full-time Salary: $15.50 – $25.50 per hour Benefits: Employee mentoring program Professional development assistance Schedule: 8 hour shift Supplemental pay types: Christmas bonus Overtime pay Ability to commute/relocate: Campbelltown NSW: Reliably commute or planning to relocate before starting work (Required) Licence/Certification: White Card (Required) Driver Licence (Preferred) Work Authorisation: Australia (Required)
3rd & 4th Year Apprentice Electrician,BSE Electrical Pty Ltd,Sydney NSW,“Looking to start the year off with a new career and become a World-Class Electrician?” As you can see; this job posting is different from almost every other electrician job posting. For good reason... Over the past 8 years; we’ve come to realise a company is only as good as its people. At BSE Electrical we are fortunate to have a small handful of them and looking for one more; is that you? The BSE Electrical team is committed to giving customers an unforgettable experience. They do whatever it takes to WOW them and leave them smiling after every job. BSE Electrical is looking for 3rd and 4th Year Electrical Apprentices in Sydney Apprentice Roles As an Electrician Apprentice you will be working closely with one of our friendly tradesmen; learning and growing thought your time with us. You will be working in a variety of locations both in workshop and on commercial and industrial sites. Whilst gaining valuable; practical experience you will be required to attend TAFE and study a Certificate III in Electrotechnology to complete all requirements to gain a NSW Electrical Contractors licence. Work type & location Our Work generally consisting of commercial; infrastructure; council parks; public area lighting and installations all over Sydney NSW. Why should you join us? Everything you need provided – As an apprentice you will be provided with highest level of training; working with the best in the industry; learning new things seeking and week out. Systems and support – We make sure our team are cared for and have the support they need in work and outside. Ongoing training and development – Every member of the team gets personalised training based on your goals. And we create opportunities to help you get there Team culture – When you join us; you’re joining a family. Down to earth management; regular social events; team BBQs; etc. Skills & requirements Finished High School (Min Year 12) Current drivers licence & a clear driving record Current white card (NSW construction induction) Ability to work in a team; self motivated and eager to learn You must be a good communicator; have strong customer service skills and present in a professional manner. To deliver on our commitment of 5 star service to everyone that experiences BSE Electrical; we need amazing people. Yes we are looking for technical skills; but more importantly we want people that fit our culture have a great attitude. We have 6 core values that we believe in. Quality; Excellence; Accountablility; Innovation; Safety and Respect. So if these values strike a chord with you; then we’re off to a great start! If you have the required skills and passion for the Electrical industry apply now; we want to hear from you! Job Types: Full-time; Permanent; Apprenticeship Salary: $18.00 – $26.00 per hour Supplemental pay types: Overtime pay Penalty rates Application Question(s): Have you received the Covid-19 Vaccine? Education: High School (Year 12) (Preferred) Experience: Electrical: 2 years (Preferred) Licence/Certification: White Card (Preferred) Driver Licence (Preferred) Work Authorisation: Australia (Preferred) Work Location: One location
Electrician,Rio Tinto,Sydney NSW,Electrician – Yandicoogina (FIFO) Work amongst a high performing infrastructure team Fantastic opportunity to progress your career further FIFO ex-Perth or Busselton with an 8:6 roster About the role  We have a fantastic opportunity for an experienced Electrician to join our high performing Site Services team based at Yandicoogina. Working 8 days on; 6 days off and reporting to the Site Services Supervisor; this role will require you to be responsible for inspecting; repairing; replacing; installing; adjusting; and maintaining electrical equipment/systems on site. Role Purpose and Responsibilities: Maintaining of general building lighting and power installations Maintaining of emergency lighting installations Maintaining of potable water systems Utilising SAP to raise; complete and function within the RTIO work management system Maintaining of genset systems on site Guiding and mentoring of apprentices Working alongside with contract partners to achieve project deliverables Fault finding on equipment breakdowns What you’ll bring to our team: A commitment to health and safety An A grade electrical license C-Class drivers licence Strong knowledge of Australian standards Demonstrated experience in the mining industry Ability to work autonomously with minimal supervision Potable water system knowledge highly desirable Open and enthusiastic attitude; willingness to share knowledge; ideas and experience with different team members. SCADA system What’s on offer? A work environment where safety is always the number one priority A permanent position working directly for Rio Tinto A competitive base salary reflective of your skills and experience Comprehensive medical benefits including subsidised private health insurance for employees and immediate family Attractive share ownership plan Company provided insurance cover Extensive salary sacrifice and salary packaging options Career development and education assistance to further your technical or leadership ambitions Ongoing access to family-friendly health and medical wellbeing support Leave for all of life’s reasons (vacation/annual; paid parental; sick leave) Exclusive employee discounts (banking; accommodation; cars; retail and more) Possible domestic relocation assistance About Rio Tinto Every idea; every innovation; every little thing the world calls ‘progress’ begins with a first step; and someone willing to take it: explorers; inventors; entrepreneurs. Pioneers. For nearly 150 years; Rio Tinto has been a company of pioneers – generations of people spanning the globe; all with the grit and vision to produce materials essential to human progress. Our iron ore has shaped skylines from Shanghai to Sydney. Our aluminium – the world’s first to be certified “responsible” – helps planes fly and makes cars lighter. Our copper helps wind turbines power cities and our boron helps feed the world plus explore the universe. Our diamonds help us celebrate the best parts of life. Where you’ll be working In the Pilbara region of Western Australia; Rio Tinto operates the world's largest integrated portfolio of iron ore assets with industry-leading margins. Our premium product suite; including our flagship Pilbara blend; drives strong customer relationships and is supported by technical and commercial marketing expertise. The iron ore business continues to be the world's largest autonomous truck operator and a proud leader in automated mining technologies. Every Voice Matters At Rio Tinto; we particularly welcome and encourage applications from Aboriginal and Torres Strait Islander people; women; the LGBTI+ community; mature workers; people with disabilities and people from different cultural backgrounds. We are committed to an inclusive environment where people feel comfortable to be themselves. We want our people to feel that all voices are heard; all cultures respected and that a variety of perspectives are not only welcome – they are essential to our success. We treat each other fairly and with dignity regardless of race; gender; nationality; ethnic origin; religion; age; sexual orientation or anything else that makes us different. Apply today if you want to work with the latest technology and innovation; in an environment where we challenge you to drive positive change. Applications for this role will close on 12TH December 2022; however we do reserve the right to close the role earlier than stated. Please note; in order to be successfully considered for this role you must complete all pre-screening questions. You may also be required to complete on-line assessments as part of the selection process.
Mature Age Electrical Apprentice - 1st or 2nd year,Plateau Electrical,Brookvale NSW,Hi there! WHAT DOES THE JOB LOOK LIKE? We primarily work in the residential/domestic service and maintenance area. A typical day will involve 2-4 jobs where you'll accompany a tradesman and learn everything from the technical works to sales; quoting; and invoicing. This will involve friendly; engaging; and educational conversations with the customers so we can help them make an informed decision about their electrical work. Generally speaking; our clients are lovely people that truly value the professional service we provide. Residential maintenance work can be challenging; whether it's crawling under a house or coming up with an innovative way to solve a customer's problem. You'll be expected to tackle these issues with a positive ‘can-do’ attitude but will always have the full support of both the office and the other technicians for those tricky situations. Career Progression - As a dynamic and growing business; we're constantly looking for team members that we can promote from within into more senior roles. WHAT WE ARE LOOKING FOR? ✅ NSW Electrical License ✅ Full Drivers License (Manual required) ✅ Attention to Detail ✅ A hunger to grow and learn as an electrician and as a person ✅ Pride in Workmanship ✅ A Positive; can-do attitude is essential! ||| IMPORTANT ||| To skip to the top of the shortlist; please apply by sending your resume and a short 30-60 second selfie video (doesn't have to be anything fancy) describing yourself and why you want to become an electrician. Please send both to info @plateauelectrical.com.au Job Types: Full-time; Permanent; Apprenticeship Salary: $25.00 – $35.00 per hour Schedule: 8 hour shift Supplemental pay types: Commission Ability to commute/relocate: Brookvale NSW: Reliably commute or planning to relocate before starting work (Preferred) Licence/Certification: White Card (Preferred) Driver Licence (Required) Work Authorisation: Australia (Required)
